phi_r,theta_r
-5.0470,1.5680
-9.1309,4.9561
-0.0076,0.0036
-1.0187,5.2835
2.4019,1.7099
-0.9855,-1.5451
-3.3269,-1.7257
-2.4440,2.8136
-0.0131,0.0066
3.0491,0.3497
1.2645,-1.5880
0.9287,-3.1150
1.4069,-3.4923
1.4283,-4.6326
-0.0140,0.0377
1.9190,-4.1724
3.1807,-4.1376
9.1633,-9.5216
17.7521,-20.8664
31.6732,-33.1620
-0.0240,0.0585
61.0073,-56.6295
63.5525,-56.0803
54.6941,-45.1935
51.0825,-27.8065
59.8668,-10.6925
-0.0354,-0.0012
104.9287,-29.4639
123.5667,-30.5595
135.4133,-16.5831
158.8117,-15.5315
191.8676,-26.0200
0.0018,-0.1084
247.1754,-43.0892
241.2343,-27.0928
218.6561,26.6944
195.2444,91.2382
193.7450,109.0932
0.0002,0.1047
194.4371,82.8883
141.6989,106.6591
100.9231,125.9345
73.5368,135.9541
33.1485,131.5185
-0.0206,-0.0423
-32.3060,147.9660
-31.4648,145.8401
-12.1171,131.7502
13.0721,130.8384
18.3482,134.3661
-0.0211,-0.0682
-37.7000,126.7296
-48.6656,152.0754
-38.4740,142.1897
-39.8195,119.8085
-64.5899,107.9293
-0.0116,0.0461
-142.7761,136.9491
-149.5559,99.4381
-140.5256,59.6109
-135.6026,51.9471
-148.0879,56.5943
-0.0073,0.1084
-178.4172,36.9559
-162.9714,21.7998
-137.1713,3.7715
-130.0573,6.4440
-142.6075,12.2543
0.0096,0.0744
-132.8337,-12.6215
-103.9187,-27.5444
-89.8354,-21.1189
-90.2453,-5.9772
-81.4103,16.0064
0.0132,0.0382
-25.9719,-15.5271
-17.6690,-42.3728
-24.5443,-55.9817
-36.4858,-58.9946
-36.2697,-57.1552
0.0046,0.0818
-26.1181,-58.6306
-34.8680,-32.9510
-34.4894,-9.5172
-23.9380,-2.2733
-7.2204,-3.0806
-0.0136,-0.0324
0.7164,-5.7939
1.2317,-0.2954
9.0676,-0.0501
18.0117,-1.0132
22.6807,3.5902
-0.0239,-0.0342
22.9374,16.3858
27.6404,30.8069
33.7992,35.7150
36.2408,30.3983
27.4102,26.5896
-0.0168,-0.0295
11.9261,24.5931
11.9395,25.2242
13.2057,24.0267
10.2953,16.2835
5.3354,10.9235
-0.0050,-0.0143
-9.0389,20.2057
-9.9228,26.9593
-6.5593,32.3245
-6.1758,35.9748
-14.6166,36.7269
0.0038,-0.0474
-27.2140,40.4753
-24.3346,41.2213
-18.0064,42.3518
-13.1639,44.3950
-12.3019,33.9018
-0.0091,0.0047
-5.5860,10.5926
-1.5950,16.0174
4.6479,18.0779
11.9910,10.1144
18.6717,-0.0136
-0.0234,0.0486
26.3111,-5.5444
36.0030,-12.1599
49.4922,-18.9778
66.7017,-30.2718
85.4293,-48.9223
-0.0223,-0.0241
94.1752,-48.4979
104.7257,-58.9876
114.7868,-64.6703
115.6995,-39.8345
112.5164,-7.5745
-0.0328,-0.0344
125.5570,-21.1303
115.6091,-13.7271
102.7356,0.3730
102.7439,-2.4421
106.3613,2.8392
-0.0280,-0.0072
100.4560,52.7908
106.3413,30.3811
100.7863,15.5100
84.2857,26.9999
65.9895,52.5921
-0.0149,-0.0709
59.7999,35.7136
54.2572,33.4965
44.6460,44.6288
34.7949,54.8555
35.6061,54.1513
-0.0059,-0.0774
45.3890,33.4800
39.6544,39.5745
37.0466,41.9404
42.2147,44.7370
45.4646,46.8528
-0.0055,-0.0889
53.0772,58.1720
48.3269,69.0392
29.9323,76.4934
18.7861,78.7873
17.0481,79.5550
0.0008,-0.1069
20.8484,97.8958
-3.0799,122.4073
-35.4833,139.4834
-58.7077,137.6875
-71.2286,135.6270
-0.0203,0.0128
-86.0387,119.9223
-86.9841,103.7728
-85.6465,99.5204
-93.1271,101.5234
-98.3550,83.1000
0.0110,0.0965
-107.9608,41.6555
-122.6036,47.6398
-134.4034,49.5152
-135.9258,36.1051
-131.1947,21.5577
0.0110,0.0748
-146.0815,-28.8799
-156.1202,-19.5480
-149.8537,-4.6694
-127.5272,-5.5988
-106.9988,-13.3231
0.0182,0.0930
-84.4959,-3.1253
-60.0343,-1.5442
-33.3895,-24.2767
-1.3606,-28.5666
18.9455,-38.6819
-0.0185,0.0773
50.1469,-44.3381
54.8378,-55.4509
40.7371,-51.8428
29.6082,-28.9532
25.8667,-19.6262
-0.0132,-0.0348
6.6291,-15.3732
5.7264,-14.6706
9.6584,-9.3062
16.2289,-7.6072
19.7632,-14.0095
-0.0158,0.0389
12.4185,-13.9970
11.3337,-7.9668
13.7218,-6.0209
12.4506,-2.8275
1.7026,-2.6645
-0.0016,0.0139
-5.5496,14.1761
-0.4944,14.6847
1.8626,17.0674
0.4677,17.1143
-2.0525,10.5861
-0.0097,0.0060
4.3855,18.6366
6.8093,21.1187
8.8190,19.4725
14.2111,12.1181
22.6318,-11.1493
-0.0236,0.0630
24.4630,-27.3845
24.6891,-24.1720
32.0410,-23.6593
41.7655,-25.8660
48.0337,-28.1009
-0.0293,0.0405
51.6124,-35.3850
60.1324,-42.4015
68.9844,-45.7185
78.3898,-51.5975
90.4203,-67.0426
-0.0115,0.0066
84.3778,-58.2369
75.4264,-37.3147
75.8050,-24.4737
81.4788,-14.8509
94.7424,-15.8418
-0.0350,-0.0218
116.9816,-15.6687
116.3816,-9.3034
123.3836,-10.4181
134.0414,-13.4898
142.1820,1.5308
-0.0345,0.0118
127.9988,14.7060
120.6078,18.5654
111.0443,43.8219
113.6588,34.6568
127.1418,5.2505
-0.0362,-0.0262
89.7036,57.4468
63.9165,83.6948
57.6095,92.4857
52.6008,94.1846
53.9870,95.0698
0.0003,-0.1107
46.6814,101.6432
35.3743,111.4810
22.9747,119.2160
14.2236,129.2217
-5.2525,125.8150
-0.0256,-0.0360
-67.2752,131.8703
-89.5047,126.6262
-104.7837,128.6913
-114.9856,132.4351
-129.5380,127.2461
0.0003,0.0457
-145.3373,112.3965
-150.6866,104.3277
-166.9564,77.7009
-175.0303,52.9646
-176.2382,46.0960
-0.0054,0.1091
-159.4102,24.1697
-157.7908,16.2094
-157.3299,18.5916
-143.2548,19.9009
-123.4684,3.9196
0.0249,0.0770
-115.7168,-9.3772
-118.7288,-19.2187
-107.9948,-30.1682
-75.2729,-29.8992
-39.1041,-28.9045
-0.0117,0.1021
11.5833,-22.5845
23.8922,-27.1668
38.8148,-47.6942
49.8335,-70.6369
54.4617,-77.4542
-0.0138,0.0129
27.1577,-39.9056
20.4064,-17.8088
32.3140,-3.6005
39.7200,3.1406
38.0982,0.8131
-0.0256,-0.0358
32.9662,-3.3586
31.4131,-6.7750
31.8891,-11.3052
