phi_r,theta_r
10.1446,-122.5366
-0.1014,-120.5161
-20.7490,-103.5297
-0.0064,0.0488
-55.6546,-105.2515
-81.3196,-102.5130
-108.1921,-78.0920
-119.4561,-38.3182
-112.3334,-26.0791
0.0285,-0.0656
-76.6442,-26.0474
-72.5467,-19.2008
-75.3972,-3.1934
-72.8803,6.1830
-60.6301,9.8848
0.0190,0.0099
-12.4811,23.2202
-10.7878,23.6284
-8.5844,6.2430
-7.2686,-1.8616
-8.0991,2.3732
-0.0031,-0.0036
8.1892,2.2403
10.9906,-3.0009
5.9923,-9.2554
2.2744,-2.2562
2.3064,0.4246
-0.0067,0.0177
11.4120,-2.1264
3.8170,-6.8260
-8.6163,-3.5731
-13.2455,-0.5814
-6.0131,0.7292
-0.0056,0.0068
7.0522,2.3389
0.2807,-0.1037
-4.6305,-2.0040
-2.4134,-2.4301
3.0378,-1.7480
-0.0049,0.0212
-0.1894,-3.9753
-0.7476,-8.3278
0.5855,-3.7136
2.0552,0.5262
1.7275,5.8646
-0.0049,0.0064
2.3692,0.6582
1.7021,-0.9264
0.3073,0.1719
2.3203,1.8617
5.1312,0.4491
-0.0048,0.0260
2.3894,-9.5211
1.4784,-16.6200
6.1540,-22.9443
11.9032,-17.5716
15.0890,-15.6981
-0.0133,0.0441
14.2534,-33.1344
6.4620,-51.8028
1.6047,-51.4357
-0.6386,-56.0365
-4.3184,-66.8715
0.0033,0.1019
-38.0794,-66.3532
-50.8967,-75.6037
-54.8892,-87.9917
-48.1069,-97.2560
-40.3808,-93.5235
-0.0011,0.0968
-30.6679,-79.0993
-33.6382,-58.4018
-34.4263,-49.8710
-33.1586,-42.6801
-27.8055,-59.0531
0.0032,0.0760
-17.9329,-64.3471
-16.2990,-38.3079
-17.0389,-12.0175
-19.0858,11.8771
-20.8160,17.1863
0.0059,-0.0717
-11.8552,-18.0976
-10.7818,2.2277
-11.1649,38.5978
-7.3719,57.9016
-1.9886,50.4277
-0.0085,-0.1049
11.0489,73.2941
19.6086,99.1082
35.8167,93.4873
50.0130,48.1047
50.6108,22.8500
-0.0304,0.0197
