phi_r,theta_r
-53.5349,-23.9485
-58.2224,-15.5621
-56.7449,-26.4878
-44.6183,-40.6150
-36.9204,-38.8405
-26.9253,-32.5398
-17.4813,-22.3112
-10.1453,-7.7512
-0.0065,-0.1023
13.5189,13.2429
30.8126,23.4855
41.0141,43.2713
37.0320,82.2996
42.1532,112.4593
57.7843,114.8465
78.0710,102.8445
103.1258,120.7746
117.2579,108.5486
115.3126,81.4845
0.0048,0.0180
123.2108,113.4945
165.2656,133.9626
193.7046,86.2508
160.1397,95.2790
110.2462,123.8430
99.2008,96.7405
105.6971,48.3994
108.9234,41.3536
109.7269,44.0535
108.9801,22.5576
-0.0273,0.0799
107.4786,-14.2393
120.6200,-30.3576
148.0021,-50.0943
153.5580,-89.5677
110.1517,-108.6072
84.9430,-113.8543
101.2946,-125.9062
128.7296,-143.5101
119.4960,-163.0959
79.7988,-167.1787
0.0057,-0.0096
34.5860,-136.1951
26.8245,-124.6333
-4.5350,-153.3618
-35.8975,-152.5299
-69.0397,-125.0365
-75.7188,-119.5636
-83.9319,-128.7363
-106.5830,-159.7515
-147.4023,-162.7264
-169.4071,-112.0439
0.0008,-0.1050
-157.7334,-100.2704
-165.6914,-109.7599
-173.1209,-62.5957
-150.5038,-15.2582
-105.6200,-14.8674
-76.4332,-30.3642
-59.4035,-12.1665
-45.4324,14.3595
-19.1914,-0.1252
-0.3032,-13.1996
-0.0073,-0.0148
-1.1001,11.0395
2.4361,7.5372
9.9269,-3.5016
11.4852,-7.3322
-2.9907,-1.4218
-15.2019,5.1953
-10.0703,1.8570
5.1621,-3.9133
14.6048,-8.3101
9.0294,-14.3817
-0.0029,0.0472
-11.7301,-49.4680
-25.0918,-74.2979
-38.9943,-89.5136
-47.1403,-89.0244
-50.0328,-90.6066
-50.6266,-81.0151
-44.3114,-57.3404
-36.7756,-53.2414
-41.3444,-50.3532
-47.2354,-41.8419
0.0226,-0.0314
-46.6749,-3.5166
-39.3420,1.2135
-43.6816,-13.4498
-58.5164,-18.7138
-58.7796,-11.3752
-45.0827,-8.3109
-36.3066,-10.1930
-34.7267,-8.2039
-26.7599,-12.0562
-16.1145,-4.0863
-0.0060,-0.1090
3.8885,46.5692
21.5298,55.1783
44.6840,48.9640
56.4963,32.5627
62.5554,36.5590
71.2234,55.7720
82.4127,83.0460
96.1559,97.4081
104.8878,111.9396
103.5860,109.1325
0.0135,-0.0130
100.3475,122.0630
109.0074,92.8483
107.8572,75.1220
102.8245,70.4208
103.1134,78.1491
102.9088,66.8066
108.8183,42.0024
114.8040,34.7701
127.6400,43.7863
131.0066,45.9510
-0.0248,0.0677
109.9642,22.3587
112.7201,15.4070
117.1197,10.1576
118.3145,-5.5101
115.1543,-30.2830
119.2471,-50.1879
134.1838,-49.5988
146.0671,-72.4415
142.2194,-131.3908
88.6767,-129.5205
0.0105,0.0219
77.8626,-128.3882
92.7376,-171.1862
67.8787,-175.5640
27.4065,-164.4155
-24.3384,-153.1514
-51.6335,-123.7214
-55.5006,-122.1732
-69.9141,-144.8002
-104.2571,-152.2735
-157.5856,-148.0886
0.0017,-0.1106
-119.8812,-90.6999
-90.9360,-124.7096
-95.9525,-143.9154
-132.5558,-96.9920
-122.4888,-18.6217
-76.5293,-9.5127
-44.1097,-28.8401
-28.6273,-23.7256
-19.1708,6.7083
-21.8157,33.9627
0.0156,-0.0626
-27.3762,-0.8082
-25.5858,8.0096
-13.5424,17.0036
-12.2949,6.8821
-16.9895,2.3945
-13.1613,3.7568
-3.5217,8.5056
2.3207,16.8005
0.1964,18.5303
-1.7280,6.3412
-0.0002,-0.0129
-0.1704,2.9810
4.2501,8.3421
6.7707,1.7198
2.6107,3.1057
-2.2459,10.1565
5.2660,16.5818
2.7562,21.8536
-4.4997,14.4599
-15.9184,11.7816
-18.0209,17.5608
0.0049,-0.0476
-10.6541,23.4481
-9.9235,-10.7935
-13.6175,-50.4935
-20.3498,-54.3912
-26.6272,-44.8848
-33.8652,-46.8844
-35.5811,-59.7907
-38.4796,-71.5552
-39.3620,-60.7877
-47.8762,-45.3283
0.0261,-0.0194
-76.5086,-35.9836
-79.9678,-51.4662
-76.5340,-52.4875
-74.4663,-41.3591
-76.5174,-39.2818
-70.3301,-45.6912
-54.0512,-48.8927
-39.6627,-26.3346
-33.3293,-9.8719
-29.1739,-13.1621
-0.0034,-0.0673
-9.4456,41.5295
5.9711,59.3673
22.3522,62.6083
38.0322,81.0898
45.5365,117.3941
40.0407,152.6890
41.1733,154.3573
58.8252,132.1661
76.7606,133.8832
84.8495,129.4945
0.0153,-0.0297
82.7209,124.5734
90.7349,96.2598
108.5092,68.8055
110.4124,80.8454
104.8142,77.2717
94.4412,51.9817
81.8485,40.0780
80.1004,81.0463
104.7363,53.2857
115.9374,42.1132
-0.0275,0.0620
79.3316,18.1611
68.5961,11.8022
73.7461,11.8285
86.2868,-12.5516
87.4462,-27.1228
87.8336,-35.2871
