Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Gyroscope X (rad/s),Gyroscope Y (rad/s),Gyroscope Z (rad/s)
-0.002378205,-0.01904411,0.9922258,-0.04396032,0.08784433,0.1608936
-0.001416808,-0.02001989,0.9902727,-0.04386641,0.08788412,-0.08336902
0.002465669,-0.02190403,0.9970708,0.07928718,0.2073471,-0.02234979
-0.001884797,-0.01901976,0.9961185,0.1408238,0.08779476,-0.02245589
0.001960329,-0.02001437,0.9907568,-0.1055887,0.147565,0.0995355
0.001503029,-0.02481026,0.9951075,0.1407796,0.08763049,-0.08352475
0.000527687,-0.01950021,0.9961137,-0.04403529,-0.03182784,0.09943873
0.003412655,-0.0200013,0.9927022,0.07913778,-0.09163088,-0.02270687
-0.002367206,-0.02386963,0.9917099,0.07921241,0.1473684,0.03831284
-0.002853639,-0.02387898,0.9902504,-0.04398551,0.1472208,-0.02264978
5.19E-05,-0.02094133,0.9970786,0.1407464,-0.09184828,-0.02264051
0.001007764,-0.0219291,0.993179,-0.1057046,0.1472075,0.0383791
0.000516994,-0.01806845,0.9936893,-0.04412897,-0.09188037,-0.0226986
-0.001898439,-0.02244351,0.9883119,0.07908291,0.02760207,-0.02270842
-0.005748682,-0.02436939,0.9892763,0.2022368,0.02758615,0.09935996
-0.002357131,-0.02287813,0.9960954,0.01755745,-0.09183428,-0.08373842
-0.002853794,-0.02436424,0.9897608,0.1405565,0.02774194,-0.0837099
-0.000931462,-0.02340729,0.9883053,-0.04427741,0.08751259,-0.08377728
0.000537758,-0.02287297,0.99658,0.07889602,0.08736516,-0.1448357
0.00100389,-0.0209676,0.9926982,-0.1058798,0.02763759,0.1603404
-0.002375726,-0.02000861,0.99222,-0.04434261,0.08720193,0.03829085
-0.000932387,-0.01759028,0.9932068,0.01721398,-0.0322746,0.03826192
-0.000446109,-0.01806617,0.9941767,0.07878994,0.08730182,0.09922418
0.001975051,-0.02192239,0.9941515,0.07869098,-0.03224995,-0.02286363
-0.001406115,-0.02145165,0.9926971,0.01709127,0.02765232,-0.08390275
0.001501016,-0.02239,0.9965822,-0.106048,-0.2113229,0.03816583
-0.000442546,-0.01999818,0.9936783,0.017203,-0.03199751,-0.08390278
0.003424125,-0.0190068,0.9975744,-0.1675533,0.02784816,0.2212927
-0.002371235,-0.02339337,0.9907396,-0.2291145,0.2069857,0.09916654
0.000515288,-0.01904195,0.9922236,0.2019502,-0.0917763,-0.1449994
-0.002360075,-0.02336938,0.9946327,-0.04436501,-0.09181114,-0.02285407
0.001002961,-0.01951485,0.9936802,0.2020617,-0.09186472,0.0381658
0.000518851,-0.02097396,0.9917252,-0.04430625,0.2068739,-0.02284217
-0.002373403,-0.02145837,0.9917245,0.01732764,0.08720952,-0.02277514
-0.001402086,-0.0219279,0.9936674,-0.1058893,0.08715627,0.1602845
-0.002843253,-0.02191699,0.9956151,-0.2291062,0.02741022,0.1602174
0.006787623,-0.01806077,0.9941712,0.1403803,0.02735704,0.1600736
-0.001406581,-0.0229074,0.9912283,-0.04445332,0.02734147,0.09886222
5.09E-05,-0.02433809,0.9936516,0.01714208,0.02736343,-0.08427382
3.58E-05,-0.01903631,0.9931973,-0.1059973,0.02744164,-0.08430214
-0.004785264,-0.01903691,0.9936875,-0.1060189,-0.09207247,0.3428378
-0.00236705,-0.02338438,0.9921995,-0.04442352,0.02748525,-0.02350157
0.004372195,-0.01807157,0.9927132,-0.1060233,0.3261779,0.1595206
0.001488155,-0.01902324,0.9951427,-0.04444734,0.02737879,0.09836743
-0.001877054,-0.02530702,0.9931607,-0.1061438,-0.03231097,0.1593117
-0.004310919,-0.01759879,0.9922361,0.01706864,-0.03236423,0.0371676
-0.001910371,-0.0205295,0.9858904,0.0785481,-0.03226728,0.09809293
-0.000413257,-0.02429945,0.9999783,-0.04468771,0.2665004,0.03707435
-0.002853479,-0.01902947,0.9946594,0.01685,-0.09197289,-0.02400172
3.77E-05,-0.02194182,0.9912331,-0.1063663,0.0275284,0.09804912
-0.001870852,-0.02335403,0.9970654,0.01686575,0.08722425,0.03693479
4.42E-05,-0.01901832,0.996117,0.0167672,0.02744056,-0.08517064
-0.000418375,-0.02721996,0.995581,0.07828571,-0.03236184,0.1589969
-0.000930841,-0.02146628,0.9902636,0.01658979,-0.03228367,0.03696819
0.003431717,-0.02141506,0.9980464,-0.1065875,0.08714265,0.09793209
-0.000432164,-0.02240044,0.9951236,0.01664481,-0.0921956,0.09788576
4.19E-05,-0.01756856,0.9966125,0.01660457,0.08711148,0.1587732
-0.000912089,-0.02385055,0.9946286,0.01656436,0.08711465,0.0976592
0.001019385,-0.02481362,0.9946213,0.0165242,-0.1520478,0.09768987
-0.001884335,-0.02192827,0.9936677,0.2014122,-0.03262119,0.09758636
-0.002360227,-0.01949037,0.9980626,0.01671461,0.02716897,0.03653011
0.001964358,-0.02049063,0.9917271,-0.04492329,0.08703415,-0.08555563
0.002933818,-0.01805465,0.9956341,-0.2295629,0.08701868,0.09750622
0.002458073,-0.02386003,0.9926795,0.0167149,0.08701175,0.0974527
-0.002365962,-0.01998762,0.9956264,0.1398311,-0.0326147,0.09731113
0.002442267,-0.02098452,0.9897773,-0.1064641,-0.2715893,0.2193055
0.001487689,-0.02047899,0.9936739,-0.04481021,0.02721626,0.2192025
-0.000906354,-0.0233533,0.9970647,0.01676632,0.08689371,0.09705985
-0.000923404,-0.0243598,0.990246,0.01676459,0.08691591,0.1580441
0.004376994,-0.02485009,0.9882925,-0.04493139,-0.2118829,0.218971
